nothing,repetition,hamming
12589,1191,3264
12652,1206,3123
12524,1156,3263
12605,1169,3262
12618,1167,3298
12441,1149,3313
12655,1221,3206
12588,1141,3253
12451,1201,3310
12582,1201,3222
12553,1138,3192
12638,1155,3349
12561,1115,3332
12476,1257,3188
12575,1141,3366
12548,1192,3370
12589,1159,3289
12756,1233,3245
12517,1206,3329
12788,1182,3220
12970,1161,3350
12700,1223,3400
12731,1186,3176
12688,1199,3182
12824,1147,3197
12554,1139,3247
12562,1187,3299
12651,1221,3437
12690,1194,3239
12847,1124,3356
12598,1159,3231
12785,1183,3388
12747,1191,3257
12522,1188,3297
12647,1207,3225
12477,1153,3455
12674,1188,3243
12659,1211,3234
12663,1189,3256
12795,1195,3203
12470,1182,3328
12484,1133,3217
12708,1199,3320
12669,1133,3109
12526,1209,3116
12747,1175,3280
12667,1190,3204
12531,1157,3296
12745,1167,3535
12494,1200,3299
12726,1124,3170
12843,1170,3401
12648,1232,3229
12804,1177,3293
12775,1113,3265
12658,1150,3183
12675,1182,3239
12473,1206,3312
12554,1155,3144
12476,1124,3213
12668,1136,3328
12682,1196,3354
12603,1126,3224
12591,1162,3315
12609,1138,3227
12605,1185,3293
12554,1125,3242
12725,1231,3258
12635,1204,3181
12745,1159,3209
12458,1145,3308
12553,1147,3344
12652,1150,3386
12532,1209,3198
12785,1146,3261
12471,1235,3407
12675,1172,3164
12492,1186,3427
12771,1202,3296
12394,1166,3146
12853,1213,3353
12826,1134,3228
12596,1201,3430
12706,1170,3377
12905,1180,3320
12744,1164,3385
12543,1194,3392
12481,1140,3252
12711,1146,3287
12525,1148,3322
12484,1151,3203
12643,1170,3334
12599,1164,3378
12542,1197,3254
12371,1206,3288
12621,1222,3354
12594,1137,3257
12611,1070,3234
12386,1175,3214
12665,1244,3297
