nothing,repetition,hamming
127010,94841,135949
126854,94451,136242
127160,94799,136605
126553,94389,136006
126815,94673,136165
126735,95329,136105
126044,94528,135517
126570,94944,136076
126382,94933,136146
126132,94956,135897
126464,94405,135775
125865,94235,135774
126268,94435,136019
126125,94165,135965
126553,94538,136422
126846,94386,135909
126160,94723,136003
126716,94611,136319
126637,94403,135283
126599,94799,135778
127105,94034,136260
126714,94952,135745
126744,94846,135897
126559,94517,135737
126173,94214,135075
126564,94418,135440
126193,94493,135857
126305,94590,136879
125737,94926,136246
126611,94975,135869
127268,94540,136549
126585,94903,136011
125879,94949,135120
126568,94326,136164
126340,94899,135634
126402,94979,135634
126079,94343,135812
126046,94839,135347
125957,94364,136120
127068,94710,136179
125903,94178,135777
126738,94920,135865
126767,95008,135530
126524,94759,135820
125756,94527,136077
126223,95281,135513
126913,94446,135600
126741,94807,135617
126214,94820,135822
126505,94779,135583
126262,94204,136525
126484,94494,135795
126340,94600,136140
126070,95049,135630
126627,94486,135813
127158,95060,135948
126333,95158,136604
126106,93844,136055
126324,94109,136589
126477,95086,135721
126736,94921,136029
126673,94690,135633
126277,94619,136142
126563,94309,135743
126610,94860,135724
126199,94553,136554
126360,94978,136218
126850,94659,136397
127395,94204,135961
126653,94805,135973
126444,94443,136060
126312,94672,135938
125983,94496,135945
126460,94900,135980
127213,95084,135792
126349,94208,135978
126408,94760,135397
126334,94751,136486
126240,94121,135546
126165,95194,136059
126259,95230,136209
126521,94371,135961
126442,94950,135805
126333,95346,135649
126245,94288,135707
126411,94929,135811
126611,94262,135648
126715,94593,135653
126285,94831,136175
126546,94588,135511
126571,94029,135990
126212,94858,136052
126441,94941,135305
126532,94783,136121
126039,94900,135706
125950,94679,135693
126754,94324,136257
126215,95309,135895
126324,94785,135749
126186,94985,136499
