nothing,repetition,hamming
4025,128,329
3947,109,321
3933,114,338
4002,137,353
4007,96,373
3973,107,351
3989,113,314
4075,106,377
3951,127,395
4037,99,358
3979,125,322
3917,127,352
3928,115,366
4039,133,350
4057,117,378
3902,141,348
3999,132,346
4023,124,336
3952,139,375
4037,128,368
3831,116,347
4040,119,348
4084,132,358
3969,112,373
3996,99,358
3954,132,362
4050,117,344
3911,123,342
3950,116,353
3936,120,363
4027,109,327
4059,118,327
4026,117,383
3984,124,326
3978,125,335
3997,106,336
4081,121,347
3933,110,369
3978,109,358
3914,116,366
3896,133,392
4052,106,352
3961,116,356
3928,126,348
3986,107,343
3998,114,371
3978,123,328
4061,118,351
3942,109,334
3856,113,322
3960,113,327
4013,117,372
3976,126,335
4011,99,387
3968,105,337
3988,127,355
3968,115,391
3900,121,337
3933,116,342
4173,131,363
4048,120,355
4008,126,357
4093,115,389
4019,124,308
3971,111,356
4127,139,336
3964,98,331
3939,115,401
3949,126,351
4026,109,366
3942,114,369
3963,136,303
3986,114,341
4017,133,380
4036,130,360
3934,125,371
3888,130,341
4008,120,322
4037,113,358
3981,129,336
4004,134,372
3898,122,335
4017,120,379
4062,108,362
3988,116,387
3990,122,321
3882,108,365
3983,90,345
3956,118,377
3992,112,322
3904,104,334
3944,115,372
3934,133,412
3968,118,341
4017,117,345
3997,119,337
4041,113,353
4092,124,312
3952,107,344
3922,107,361
